Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
perl and regex,1,1,210,26,0.00,https://perldoc.perl.org/perlre,168,1.09,0.00,0,13400000,"[21,17,32,59,17,26,14,21,11,9,17,39]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl for windows,1,1,210,25,0.00,https://www.perl.org/get.html,168,1.09,0.00,0,10,"[29,43,43,66,35,54,29,43,29,29,43,29]",2025-11-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
install perl windows,1,1,170,30,0.00,https://www.perl.org/get.html,136,0.88,0.00,0,18600000,"[53,65,65,53,43,28,53,43,53,65,34,43]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
mkdir -p,5,5,5400,21,0.03,https://perldoc.perl.org/functions/mkdir,129,0.84,3.00,0,6280000,"[24,29,29,29,54,36,29,36,29,44,29,36]",2025-12-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
chmod,7,8,9900,63,0.00,https://perldoc.perl.org/functions/chmod,128,0.83,0.00,0,5450000,"[44,44,54,54,44,54,36,44,44,36,44,44]",2025-12-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,Organic
perl map,1,1,140,16,0.00,https://perldoc.perl.org/functions/map,112,0.72,0.00,0,97,"[43,28,35,43,43,43,35,35,43,35,35,28]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic
install perl on windows,1,1,140,27,0.00,https://www.perl.org/get.html,112,0.72,0.00,0,15200000,"[53,34,53,43,34,53,53,34,53,53,43,43]",2025-11-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
perl windows,1,1,140,36,0.00,https://www.perl.org/get.html,112,0.72,0.00,0,35800000,"[43,17,53,43,53,17,17,17,82,17,66,35]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
perl lang,1,1,140,60,2.01,https://www.perl.org/,112,0.72,225.00,0,38000000,"[19,0,0,3,80,65,80,80,100,53,53,53]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches, See results about",informational,Organic
perl dl,1,1,110,23,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,10,"[34,43,28,34,28,34,12,28,65,53,28,21]",2025-11-19,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
download perl,1,1,110,36,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,9,"[18,18,18,11,28,11,23,15,15,11,18,18]",2025-11-15,"Sitelinks, Video, People also ask, Related searches",informational,Organic
perl language download,1,1,110,26,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,10,"[34,81,28,34,28,21,15,28,53,43,34,21]",2025-11-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
perl setup,1,1,110,23,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,40000000,"[26,26,42,34,42,26,80,53,53,34,26,53]",2025-12-20,"Video, Video Carousel, Related searches, AI overview",informational,Organic
perl install,1,1,110,23,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,21500000,"[21,21,100,81,34,15,34,34,65,21,6,21]",2025-09-10,"Image pack, Video, People also ask, Related searches",informational,Organic
getoptions in perl,1,1,110,16,0.00,https://perldoc.perl.org/5.005/Getopt::Long,88,0.57,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
sub perl,1,1,110,34,0.00,https://perldoc.perl.org/perlsub,88,0.57,0.00,0,18800000,"[53,42,100,42,26,34,34,42,26,42,53,34]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
installer perl,1,1,110,26,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,29100000,"[82,52,64,52,64,41,52,82,82,52,41,82]",2025-12-21,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
perl map function,1,1,110,11,0.00,https://perldoc.perl.org/functions/map,88,0.57,0.00,0,13600000,"[66,66,66,66,80,66,52,52,52,52,42,42]",2025-12-25,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
install perl for windows,1,1,110,36,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,14100000,"[34,34,43,34,34,28,28,34,53,21,34,28]",2025-10-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
perl install windows,1,1,110,25,0.00,https://www.perl.org/get.html,88,0.57,0.00,0,15100000,"[26,42,42,65,42,80,34,26,65,53,34,42]",2025-12-23,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
installation of perl,1,1,110,24,0.00,https://learn.perl.org/installing/windows.html,88,0.57,0.00,0,42700000,"[100,78,64,78,64,100,78,64,64,64,50,100]",2025-11-24,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
perl open,1,1,110,31,0.00,https://perldoc.perl.org/functions/open,88,0.57,0.00,0,40000000,"[43,43,34,53,28,28,43,34,28,43,34,34]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
learn perl,1,1,110,58,2.30,https://learn.perl.org/,88,0.57,202.00,0.06,32900000,"[10,35,28,28,35,10,35,43,35,35,17,35]",2025-09-06,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Knowledge panel
dbi,5,5,4400,71,1.32,https://dbi.perl.org/,83,0.54,109.00,0.01,17000000,"[44,36,44,66,54,54,54,44,54,44,36,44]",2025-12-21,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
temp temp,8,8,3600,37,8.59,https://perldoc.perl.org/File::Temp,79,0.51,678.00,0,406000000,"[0,0,1,0,1,54,7,24,1,100,13,1]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl programming download,1,1,90,54,0.00,https://www.perl.org/get.html,72,0.46,0.00,0,40300000,"[42,53,34,42,34,42,15,34,80,65,7,7]",2025-11-17,"Sitelinks, Video, People also ask, Related searches",informational,Organic
perl glob,1,1,90,28,0.00,https://perldoc.perl.org/functions/glob,72,0.46,0.00,0,63,"[52,52,42,42,33,23,42,33,52,33,33,33]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic
sub in perl,1,1,90,29,0.00,https://perldoc.perl.org/perlsub,72,0.46,0.00,0,18100000,"[0,78,78,78,50,64,64,50,28,100,78,50]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl latest version,1,1,90,60,0.00,https://www.perl.org/get.html,72,0.46,0.00,0,26700000,"[100,64,64,78,50,64,64,78,64,64,64,64]",2025-12-07,"Sitelinks, Video, Related searches",informational,Organic
perl copy file,1,1,90,11,0.00,https://perldoc.perl.org/File::Copy,72,0.46,0.00,0,89,"[34,34,42,42,34,26,42,34,42,34,34,26]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
open perl,1,1,90,22,0.00,https://perldoc.perl.org/functions/open,72,0.46,0.00,0,39900000,"[34,34,53,34,26,26,34,34,42,42,34,34]",2025-12-23,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl switch syntax,1,4,90,20,0.00,https://perldoc.perl.org/5.8.7/Switch,72,0.46,0.00,0,40100000,"[33,42,42,42,42,42,66,52,33,42,33,42]",2025-12-25,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl get options,1,1,90,16,0.00,https://perldoc.perl.org/5.005/Getopt::Long,72,0.46,0.00,0,27200000,"[41,52,52,64,29,52,64,64,52,64,52,11]",2025-12-25,"Sitelinks, Video, Related searches",informational,Organic
perl dbi,1,1,90,45,0.00,https://dbi.perl.org/,72,0.46,0.00,0,80,"[28,28,15,28,21,21,28,34,43,43,34,34]",2025-09-10,"Image pack, Sitelinks, Video, Related searches",informational,Organic
undef undef,9,9,2900,28,0.00,https://perldoc.perl.org/functions/undef,63,0.41,0.00,0.01,5520000,"[10,2,13,2,100,100,44,19,19,0,7,16]",2025-12-20,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
pearl programming language,1,1,480,63,1.69,https://www.perl.org/,63,0.41,106.00,0,13100000,"[0,15,3,5,0,0,0,36,15,0,0,7]",2025-12-01,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
map function in perl,1,1,70,14,0.00,https://perldoc.perl.org/functions/map,56,0.36,0.00,0,19200000,"[41,52,52,52,23,52,52,41,29,29,41,41]",2025-12-25,"Video, Video Carousel, Related searches, AI overview",informational,Organic
unlink,5,5,1600,41,0.09,https://perldoc.perl.org/functions/unlink,56,0.36,5.00,0,10,"[29,43,43,36,29,20,29,43,22,20,29,43]",2025-11-19,"Instant answer, Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
perl basename,1,1,70,14,0.00,https://perldoc.perl.org/File::Basename,56,0.36,0.00,0,527000,"[42,42,33,42,42,33,42,33,23,33,33,33]",2025-12-19,"Sitelinks, Related searches, AI overview",informational,Organic
copy file perl,1,1,70,10,0.00,https://perldoc.perl.org/File::Copy,56,0.36,0.00,0,10,"[26,26,26,26,26,26,26,34,19,26,19,26]",2025-11-15,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
file copy perl,1,1,70,16,0.00,https://perldoc.perl.org/File::Copy,56,0.36,0.00,0,42800000,"[34,19,19,19,26,26,26,3,26,19,26,26]",2025-11-23,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
regex perl,1,1,70,26,0.00,https://perldoc.perl.org/perlre,56,0.36,0.00,0,14200000,"[0,100,1,0,0,0,5,0,6,0,15,0]",2025-11-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl var,1,1,70,28,0.00,https://perldoc.perl.org/perlvar,56,0.36,0.00,0,33500000,"[29,52,64,52,64,52,52,41,29,29,41,29]",2025-12-25,"Sitelinks, Video, Related searches",informational,Organic
learning perl,1,1,70,54,1.98,https://learn.perl.org/,56,0.36,110.00,0.2,39800000,"[15,0,53,19,34,34,26,65,19,11,53,19]",2025-12-14,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
sort perl,1,1,70,20,0.00,https://perldoc.perl.org/functions/sort,56,0.36,0.00,0,12400000,"[23,33,23,33,33,23,33,23,33,33,23,23]",2025-11-04,"Sitelinks, Video, Related searches, AI overview",informational,Organic
maps perl,1,1,70,19,0.00,https://perldoc.perl.org/functions/map,56,0.36,0.00,0,7,"[52,64,41,52,82,41,29,52,52,41,29,29]",2025-11-19,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
perl index,1,1,70,22,0.00,https://perldoc.perl.org/functions/index,56,0.36,0.00,0,88,"[42,33,33,33,23,42,33,33,42,33,33,23]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pearl script,1,1,390,38,0.00,https://www.perl.org/,51,0.33,0.00,0,35800000,"[36,54,36,100,66,100,44,66,36,23,23,6]",2025-09-09,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
perl,1,0,14800,94,1.59,https://www.perl.org/about.html,49,0.31,77.00,0,40000000,"[66,66,81,54,66,54,54,66,81,54,66,54]",2025-12-25,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview","informational, navigational",AI overview
perl on linux,1,1,50,27,0.00,https://learn.perl.org/installing/unix_linux.html,40,0.26,0.00,0,42100000,"[35,35,35,35,35,14,78,78,78,14,14,14]",2025-09-10,"Sitelinks, Video, People also ask, Related searches",informational,Organic
system perl command,1,1,50,30,0.00,https://perldoc.perl.org/functions/system,40,0.26,0.00,0.33,40300000,"[19,19,19,19,11,26,26,26,26,26,7,7]",2025-12-23,"Sitelinks, Video Carousel, People also ask, Related searches",informational,Organic
reverse,19,20,27100,61,1.15,https://perldoc.perl.org/functions/reverse,40,0.26,46.00,0,796000000,"[29,24,24,24,24,29,29,29,29,29,29,29]",2025-12-25,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
version perl,1,1,50,29,0.00,https://perldoc.perl.org/version,40,0.26,0.00,0,38900000,"[63,81,63,63,45,45,45,63,27,63,63,18]",2025-09-05,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl use file copy,1,1,50,23,0.00,https://perldoc.perl.org/File::Copy,40,0.26,0.00,0,40000000,"[55,55,55,55,33,77,11,77,55,77,77,55]",2025-12-25,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl documentation,1,1,50,34,0.00,https://perldoc.perl.org/,40,0.26,0.00,0,32300000,"[64,64,64,50,14,14,14,78,14,14,14,35]",2025-12-25,"Sitelinks, Video, Related searches, AI overview",navigational,Organic
basename in perl,1,1,50,10,0.00,https://perldoc.perl.org/File::Basename,40,0.26,0.00,0,10,"[29,41,29,29,41,41,41,41,41,29,11,11]",2025-11-07,"Image pack, Sitelinks, People also ask, Related searches, AI overview",informational,Organic
mkdir in perl,1,1,50,21,0.00,https://perldoc.perl.org/functions/mkdir,40,0.26,0.00,0,297000,"[33,33,23,23,23,23,23,33,33,23,23,9]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl sub,1,1,50,29,0.00,https://perldoc.perl.org/perlsub,40,0.26,0.00,0,14900000,"[6,3,3,5,3,5,3,5,5,3,1,1]",2025-12-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
perl on windows,1,1,50,24,0.00,https://www.perl.org/get.html,40,0.26,0.00,0,10,"[15,21,15,21,21,12,0,9,6,21,15,15]",2025-11-12,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
perl getopt,1,1,50,9,0.00,https://perldoc.perl.org/Getopt::Long,40,0.26,0.00,0,8,"[42,19,15,11,19,0,15,11,11,19,19,26]",2025-11-12,"Image pack, Sitelinks, Related searches, AI overview",,Organic
use perl,1,1,50,35,0.00,https://perldoc.perl.org/functions/use,40,0.26,0.00,0,41600000,"[41,41,41,41,29,29,29,41,41,29,41,11]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl die,1,1,50,12,0.00,https://perldoc.perl.org/functions/die,40,0.26,0.00,0,18800000,"[33,33,23,23,23,33,33,33,9,9,9,9]",2025-10-30,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
dev perl,1,1,50,32,0.00,https://dev.perl.org/,40,0.26,0.00,0,36700000,"[0,0,0,0,11,100,52,52,17,41,41,11]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",,Organic
perlsub,1,1,50,21,0.00,https://perldoc.perl.org/perlsub,40,0.26,0.00,0,23100,"[26,19,19,19,19,11,26,26,26,19,7,7]",2025-12-21,"Sitelinks, Video, Related searches",navigational,Organic
perl reserved keywords,1,1,50,22,0.00,https://learn.perl.org/docs/keywords.html,40,0.26,0.00,0,283000,"[9,9,9,52,9,52,52,52,9,9,9,9]",2025-12-17,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl use,1,1,50,24,0.00,https://perldoc.perl.org/functions/use,40,0.26,0.00,0,40500000,"[33,23,23,33,33,42,23,33,9,9,9,9]",2025-12-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl textbook,1,1,50,41,0.00,https://www.perl.org/books/beginning-perl/,40,0.26,0.00,0.08,302000,"[19,34,19,19,15,19,19,19,15,19,7,7]",2025-12-05,"Knowledge panel, Sitelinks, Video, Popular products, Related searches",transactional,Organic
what is perl,2,2,480,35,0.00,https://www.perl.org/,39,0.25,0.00,0,40200000,"[66,54,81,54,54,66,66,66,100,54,66,81]",2025-12-25,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
chown -r,3,3,1300,20,0.00,https://perldoc.perl.org/functions/chown,39,0.25,0.00,0,2640000,"[16,36,27,20,24,80,16,52,80,100,4,8]",2025-11-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","commercial, informational",Organic
pearl language,1,1,260,54,0.00,https://www.perl.org/,34,0.22,0.00,0,707000000,"[4,5,7,72,48,39,1,48,39,39,0,26]",2025-09-07,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl oo,1,1,40,27,0.00,https://perldoc.perl.org/perlootut,32,0.2,0.00,0,1800000,"[18,18,18,18,18,100,100,18,18,18,18,18]",2025-12-08,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perldoc,1,1,40,18,0.00,https://perldoc.perl.org/,32,0.2,0.00,0,5,"[11,52,11,11,41,64,11,11,11,11,0,11]",2025-11-12,"Image pack, Sitelinks, Related searches",navigational,Organic
the crypts,1,1,1000,37,0.00,https://perldoc.perl.org/functions/crypt,32,0.2,0.00,0.05,2890000,"[13,15,19,43,28,81,1,0,0,0,0,3]",2025-11-24,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
dumper in perl,1,1,40,11,0.00,https://perldoc.perl.org/Data::Dumper,32,0.2,0.00,0,3850000,"[29,29,29,29,41,41,29,11,11,11,11,11]",2025-12-07,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
bless perl,1,1,40,12,0.00,https://perldoc.perl.org/functions/bless,32,0.2,0.00,0,10,"[45,45,45,18,100,18,18,18,18,18,18,18]",2025-11-11,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
perl how to,1,1,40,31,0.00,https://learn.perl.org/first_steps/,32,0.2,0.00,0,41800000,"[18,18,18,18,100,100,100,18,18,18,18,18]",2025-09-10,"Image pack, Video, Related searches, AI overview",informational,Organic
perl manager,1,1,40,44,0.00,https://www.perl.org/get.html,32,0.2,0.00,0,23200000,"[18,18,18,100,100,18,18,18,18,18,18,18]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",,Organic
download perl for windows,1,1,40,41,0.00,https://www.perl.org/get.html,32,0.2,0.00,0,21700000,"[4,4,2,4,2,23,2,2,4,2,2,6]",2025-12-05,"Sitelinks, Video, People also ask, Related searches",informational,Organic
memoize,8,8,1300,50,0.00,https://perldoc.perl.org/Memoize,31,0.2,0.00,0,444000,"[66,54,100,54,24,36,41,54,54,24,54,36]",2025-12-21,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
substring in perl,1,1,140,30,0.00,https://perldoc.perl.org/functions/substr,31,0.2,0.00,0,2550000,"[19,23,12,15,15,12,4,10,23,19,19,12]",2025-10-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
inurl:tr,10,10,1600,45,0.00,https://perldoc.perl.org/functions/tr,30,0.19,0.00,0,828000000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2025-11-27,"Image pack, Video","commercial, informational",Organic
lstat,5,5,1000,28,2.87,https://perldoc.perl.org/functions/lstat,30,0.19,86.00,0.02,201000,"[81,62,62,62,62,62,62,81,62,81,62,81]",2025-12-23,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic
temp,49,49,301000,79,8.59,https://perldoc.perl.org/File::Temp,30,0.19,257.00,0,415000000,"[66,81,54,81,29,44,66,29,36,16,44,20]",2025-12-19,"Instant answer, Sitelinks, Video, Image, Related searches",informational,Organic
decode encode base64,25,25,18100,58,0.00,https://perldoc.perl.org/MIME::Base64,27,0.17,0.00,0,3350000,"[100,81,81,100,100,100,0,0,0,0,5,54]",2025-12-21,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
active perl,2,2,210,16,0.00,https://www.perl.org/get.html,27,0.17,0.00,0,91,"[35,23,28,23,18,35,44,44,54,44,35,35]",2025-09-06,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
fileparse,1,1,110,8,6.32,https://perldoc.perl.org/5.8.2/File::Basename,27,0.17,170.00,0.08,132000,"[52,33,42,42,100,33,42,100,66,42,33,42]",2025-11-27,"Sitelinks, Image, People also ask, Related searches","informational, transactional",Organic
perl language,1,1,1000,41,0.00,https://www.perl.org/,26,0.16,0.00,0,10,"[68,68,52,52,68,68,52,68,52,52,52,37]",2025-11-19,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
perl e,2,2,320,22,6.29,https://perldoc.perl.org/functions/-e,26,0.16,163.00,0.05,126000000,"[25,20,7,11,37,46,25,8,8,7,7,13]",2025-09-05,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
srand,1,1,720,38,0.00,https://perldoc.perl.org/functions/srand,24,0.15,0.00,0,894000,"[25,52,68,25,25,37,52,31,46,25,20,25]",2025-10-02,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
artistic 2.0,20,20,8100,34,0.02,https://dev.perl.org/licenses/artistic.html,24,0.15,0.00,0.01,31800000,"[0,0,0,0,0,81,100,67,36,0,0,0]",2025-12-19,"Knowledge panel, Sitelinks, Video, Ads bottom",informational,Organic
umask,8,8,1000,55,0.00,https://perldoc.perl.org/functions/umask,24,0.15,0.00,0,631000,"[34,34,44,44,44,34,30,30,30,30,30,24]",2025-12-23,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
phalanx,34,34,33100,78,0.00,https://qa.perl.org/phalanx/history.html,23,0.14,0.00,0,5550000,"[44,44,54,44,44,54,44,36,44,44,66,54]",2025-12-23,"Instant answer, Knowledge panel, Sitelinks, Video, Image, Related searches",informational,Organic
exec,23,26,14800,62,4.16,https://perldoc.perl.org/functions/exec,22,0.14,91.00,0,55900000,"[54,67,54,100,36,36,24,5,36,24,100,54]",2025-12-26,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
language perl,1,1,880,69,4.40,https://www.perl.org/,22,0.14,96.00,0,36200000,"[36,13,15,3,2,1,0,2,2,2,3,1]",2025-09-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
artistic license,5,5,1000,55,1.73,https://dev.perl.org/licenses/artistic.html,22,0.14,38.00,0.02,82200000,"[46,52,68,52,68,84,68,52,52,52,52,52]",2025-11-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
data dumper,2,2,260,10,0.00,https://perldoc.perl.org/Data::Dumper,21,0.13,0.00,0,10,"[22,35,35,81,54,81,81,54,81,100,54,22]",2025-11-18,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
eof,12,12,2900,37,2.14,https://perldoc.perl.org/functions/eof,20,0.13,42.00,0.02,8210000,"[81,53,53,53,66,66,66,66,44,53,53,66]",2025-12-20,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl localtime,1,1,90,25,0.00,https://perldoc.perl.org/functions/localtime,20,0.13,0.00,0,64,"[28,34,34,34,21,21,34,34,34,28,28,28]",2025-09-10,"Image pack, Sitelinks, Related searches, AI overview",informational,AI overview
perl regex,1,1,720,48,0.00,https://perldoc.perl.org/perlre,18,0.11,0.00,0,17000000,"[55,55,36,45,36,62,36,55,45,36,36,36]",2025-10-02,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
glob,20,20,12100,70,0.00,https://perldoc.perl.org/functions/glob,18,0.11,0.00,0,28000000,"[11,11,9,11,13,11,13,11,9,6,7,11]",2025-12-20,"Instant answer, Knowledge panel, Sitelinks, Video, Image, Related searches",informational,Organic
substr,10,10,3600,50,0.00,https://perldoc.perl.org/functions/substr,18,0.11,0.00,0,13900000,"[24,24,44,24,29,24,24,19,19,19,29,19]",2025-12-24,"Sitelinks, Video, Video Carousel, Related searches, See results about, AI overview",informational,Organic
sort,22,22,12100,76,1.39,https://perldoc.perl.org/functions/sort,18,0.11,25.00,0,2260000000,"[66,66,54,44,54,100,54,44,54,54,66,54]",2025-12-24,"Instant answer, Sitelinks, Video, Image, Related searches",informational,Organic
grep,15,15,12100,46,0.03,https://perldoc.perl.org/functions/grep,18,0.11,0.00,0,27100000,"[44,54,44,54,54,44,36,36,66,36,44,36]",2025-12-25,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
